lsoa_code,intercept,curio_canopy_percentage,Population Density;Persons per hectare;2012,owner_occupied
E01000006,6.5355234276475525,-0.015806967807835012,-0.0033719349010868926,-0.013032650570274364
E01000007,6.800986454182954,-0.024882938605305105,-0.0044426692942024235,-0.01163313641602335
E01000008,6.885442934055754,-0.027111285813665505,-0.004903772697720323,-0.011050814722856479
E01000009,6.6731857276686135,-0.020524867027996184,-0.0038442938779776935,-0.012592621517641886
E01000010,6.5138099449930245,-0.018132003893877716,-0.003475895624232426,-0.01135130819875675
E01000011,6.930856830165701,-0.026651368403310102,-0.004700844301497531,-0.012917465455583359
E01000012,7.009854455858161,-0.028887337356548467,-0.0052351668699068335,-0.011859152697574846
E01000013,6.524872078105516,-0.011679916827851277,-0.0031412528965485704,-0.01384387500821208
E01000014,6.573828270497382,-0.011330981213372884,-0.0035918209852413945,-0.014481586659243952
E01000015,6.483653125081041,-0.011754290907363513,-0.0022358943407884855,-0.014152403109897134
E01000016,6.48285272848006,-0.011357895563382459,-0.002927179577429299,-0.013770816154313472
E01000017,6.499080016275854,-0.010304492989958064,-0.0032546869362488637,-0.01425636950602924
E01000018,6.491821095147542,-0.01166848796511034,-0.002786604701537924,-0.01378607273364257
E01000019,7.014595425025074,-0.01366234520132853,-0.005205189839447542,-0.02107714423113176
E01000020,6.80738000392112,-0.010780234493931257,-0.0041635868513363325,-0.020036289999594073
E01000021,7.048313782432364,-0.013327745715649292,-0.005474755738917765,-0.021087038892232346
E01000022,6.932818320437072,-0.010755623187716418,-0.004793182292939325,-0.021331736235603305
E01000023,7.031066780386601,-0.01387668594107247,-0.005846523161969826,-0.01974824901042259
E01000024,6.862619501254701,-0.00755211200636749,-0.004859200945918553,-0.021184582859267248
E01000025,6.8217369550356,-0.007205042764980379,-0.005064017528218021,-0.02008965000697456
E01000027,6.999348103262782,-0.027134884520490565,-0.005476634123720174,-0.019535151361630268
E01000028,6.935859831747754,-0.01993072957183961,-0.00579193090601866,-0.019666587842422395
E01000029,6.927624842647722,-0.020366363867177342,-0.005482752829901183,-0.019228487050785437
E01000030,6.999947435575235,-0.027251830985368,-0.005333119184446386,-0.019200998204118847
E01000031,6.874047420017066,-0.01790483794047209,-0.005320193505594539,-0.01866407016071328
E01000032,6.820851876216473,-0.012802276984052625,-0.005616274585707619,-0.018665878389320205
E01000033,6.7839460406365815,-0.01548574185373378,-0.0035733585313530015,-0.017248374475674004
E01000034,6.9939741396802715,-0.016972949796909418,-0.004254704470212889,-0.019631723585040173
E01000035,6.656283382532695,-0.012534163044784436,-0.0025480256520829725,-0.01722843393362427
E01000036,6.576691074667622,-0.011511265324133588,-0.002068575024141445,-0.016627096426177542
E01000037,7.874798943066899,-0.02452538197161094,-0.006965353379765681,-0.028377968455418425
E01000038,7.556598764869347,-0.02352526311820643,-0.005887404317398813,-0.024830707572527862
E01000039,7.681138511911146,-0.022110991979865297,-0.006728363285906322,-0.0266077477994049
E01000040,6.366487296953989,-0.007736123847460176,-0.002943039789171458,-0.01409141268394915
E01000041,6.5411483870055385,-0.008205744878848526,-0.004025162972550528,-0.015674926500571673
E01000042,6.429152947512615,-0.006961606134020047,-0.0033064067153574014,-0.015117830647541578
E01000043,6.343131328750663,-0.00793459921138092,-0.002949989297920924,-0.013604329198364223
E01000044,6.362901421986617,-0.010496357663363667,-0.00290583235154848,-0.012965170906819121
E01000045,6.459452966494126,-0.008315772544709743,-0.003609788635804099,-0.014668441042336163
E01000046,6.566990581146369,-0.009586492405390126,-0.004125611762525221,-0.015284415899844365
E01000048,6.335005679772246,-0.012646195175426249,-0.002944350515734511,-0.011468317647398526
E01000049,6.3034317750194475,-0.01118368826171591,-0.0028626453063545438,-0.011624978886230264
E01000050,6.378300740145284,-0.01285757364740426,-0.0030082839195276806,-0.012000524668379333
E01000051,6.398390653403119,-0.014732082150223882,-0.0031117732491159045,-0.011431896603293256
E01000052,6.298644320724144,-0.0089089766451507,-0.002779846079690681,-0.012684877859881573
E01000053,6.4624599309376825,-0.01172840673455062,-0.0026210842598606747,-0.013054379203943535
E01000054,6.604660596884938,-0.012154160378438288,-0.0038003680798286868,-0.014629531787945887
E01000055,6.591964664642705,-0.011123795226700295,-0.004015560689547126,-0.01493412469940604
E01000056,6.512102441392679,-0.011614366908221666,-0.0032673918833147518,-0.013451118967307265
E01000057,6.648509100899612,-0.011393723810114846,-0.004119775446375978,-0.015860234790542355
E01000058,6.630210479838348,-0.011749350261016447,-0.0038630424946975925,-0.015114813631809955
E01000059,6.509555450906331,-0.012076860841024245,-0.003064035418082751,-0.013326394899340106
E01000060,6.467047203513234,-0.011731027112185103,-0.002925072908937992,-0.014030729807727658
E01000061,6.583725173229219,-0.014525161394818468,-0.0030675583834908196,-0.015293303101437174
E01000062,6.471789741247433,-0.011324925788885477,-0.0029447455679337308,-0.013933266514486285
E01000063,6.322854758333957,-0.0072548219881217665,-0.002803462915309537,-0.013320325707879298
E01000064,6.570687993312593,-0.013125781032471697,-0.0030672255094435783,-0.014795404263912489
E01000065,6.399546106946534,-0.0072118047735244585,-0.003169836838358096,-0.014054146122131206
E01000066,6.695426905186065,-0.008832839404097008,-0.004262241338376547,-0.017829167761374567
E01000067,6.806011383344797,-0.01378665708683266,-0.004149875821369581,-0.01770507445415731
E01000068,6.612592307733689,-0.016543219572738178,-0.0035207610410431488,-0.013867905916346603
E01000069,6.582274656584666,-0.010739997359404355,-0.003455559535996893,-0.015999729146932623
E01000070,6.714626338451991,-0.01660409876539599,-0.0037470065022706684,-0.01530271978485033
E01000071,6.4458881607430865,-0.007912364383933106,-0.00314369596533994,-0.015176271924979706
E01000072,6.588582280627742,-0.006375502712372362,-0.004439628624451771,-0.016828363517217372
E01000073,6.7224024185568165,-0.006638506322493666,-0.0050514759640115274,-0.018382772863810383
E01000074,6.7555291335408905,-0.006767147999319108,-0.004916612100159751,-0.019222718266762764
E01000075,6.745280780865421,-0.01088973413315045,-0.0044591922896905925,-0.017745735033363342
E01000076,6.650727512009568,-0.007999024775614795,-0.004626160591682131,-0.016964195055662573
E01000077,6.804500505277329,-0.006216635134081869,-0.004409594785577615,-0.021429343671841516
E01000078,6.5839700916418025,-0.006806418005975534,-0.00343667269001784,-0.018249547112215506
E01000079,6.588005770744675,-0.010498271100263839,-0.0037774609920575,-0.015156232478238088
E01000080,6.777412822355957,-0.008073006853893259,-0.004171851219752931,-0.02032466080597921
E01000081,6.559312030146744,-0.008015665134104667,-0.0037184361663551925,-0.01621554454269227
E01000082,6.398457179350189,-0.00683493182853398,-0.0030463731932660184,-0.014825648770826493
E01000083,6.683848255694421,-0.007512146852451912,-0.00370477085254585,-0.019694772300948654
E01000084,6.510694324743584,-0.011881030535511265,-0.002974083894545045,-0.01361210146534358
E01000085,6.489757065571011,-0.011886285258451814,-0.0024043806188261065,-0.013836087563607288
E01000086,6.490261938555253,-0.011967803668141694,-0.0026703599551610026,-0.013518510395755053
E01000087,6.494632355116713,-0.011171485288864877,-0.0021112780753675467,-0.01471313985897537
E01000088,6.5344392596881615,-0.01067928726636982,-0.0019828834342456776,-0.015963582295311047
E01000089,6.583715188148645,-0.009841540574568916,-0.0017744419433157032,-0.01756379464874314
E01000090,6.588659449585971,-0.009569566042092817,-0.001889655515302947,-0.017649792012427574
E01000091,6.335456203306708,-0.009444377322130196,-0.003180547689360592,-0.012601715736712187
E01000092,6.238663371705185,-0.007974899357235464,-0.002746827303980839,-0.01195116847427098
E01000093,6.285296046740599,-0.007851372620392564,-0.0028943597174124606,-0.012602313315885526
E01000094,6.360527876088242,-0.010929463253742918,-0.0033057605606071523,-0.012331028692314245
E01000095,6.474217244404601,-0.009527595263862664,-0.0036927795223751997,-0.013492591803989209
E01000096,6.458899839161,-0.008952327426676137,-0.0036779207553632415,-0.01420132038070713
E01000097,6.822766418796669,-0.012318927752674375,-0.005099592897971576,-0.018557183630612803
E01000098,6.822094338467231,-0.012325845478447062,-0.0047511494962459225,-0.018902958336149654
E01000099,6.63817631663519,-0.010086339057268509,-0.0041323911297157165,-0.017231745322181406
E01000100,6.372775013457804,-0.008499782238849743,-0.0027416038479924874,-0.014572855985259885
E01000101,6.346065679156517,-0.008328303930004846,-0.0027142659727134484,-0.013858774014711844
E01000102,6.5108079963577845,-0.008612944931495614,-0.003119498745660993,-0.016731044507206076
E01000103,6.641525160190869,-0.009814908984149542,-0.0017340204879746502,-0.01914576730053631
E01000104,6.62385767691817,-0.010119766917592359,-0.001745793732242779,-0.018725457344772076
E01000105,6.493117606850217,-0.011750007027883199,-0.002277113132954723,-0.014191438949048457
E01000106,6.53406781876375,-0.01087953969759663,-0.0018525517437610005,-0.016147562421324136
E01000107,6.775009573425176,-0.010329030400153058,-0.002285600925842755,-0.021279099702146167
E01000108,6.611993534592859,-0.010597423089435917,-0.0018467546393512889,-0.018156421166265386
E01000109,6.48489649712708,-0.009471622884680647,-0.003384162701839135,-0.015584307915455212
E01000110,6.966970835674051,-0.023006843230249763,-0.004746134253831462,-0.01910528805648947
E01000111,6.78220327563041,-0.017117927337184223,-0.0041305794754872595,-0.01784308393021459
E01000112,6.758734300153005,-0.012518840553773286,-0.0050295843343015345,-0.018003665105999843
E01000113,6.793482260717132,-0.010921841724347368,-0.005504088099146692,-0.018375205654750298
E01000114,6.648479382336451,-0.015907048186810643,-0.003280481399821813,-0.01639818997524385
E01000115,7.020263886140877,-0.013330685192758296,-0.004990547082887207,-0.029124251293808
E01000116,6.964308877634847,-0.012860325156264903,-0.004520708632854184,-0.02836936553335643
E01000117,7.015014089784675,-0.0141273705548457,-0.0038222538550032733,-0.028599151313875346
E01000118,6.9340153711253,-0.013475431425498606,-0.003893562838234466,-0.027711370854212
E01000119,7.160188352031424,-0.019476158019948273,-0.0059448262488455425,-0.02857469847549757
E01000120,7.071888733223732,-0.01666321073803055,-0.005489178517442551,-0.028321567046470035
E01000121,6.97279730212194,-0.015398461854281767,-0.004602764879589386,-0.026997912031251407
E01000122,7.17703495011564,-0.020023784203253615,-0.006421358852138748,-0.027583604638955515
E01000123,7.061942760811123,-0.01674937293227541,-0.006075012488657092,-0.026450679901395376
E01000124,6.992899521293537,-0.015105407161566014,-0.006142100290637891,-0.025628196661216848
E01000125,7.155393916706242,-0.017758650275651,-0.007121180697881993,-0.023247031973466233
E01000126,6.441017120375225,-0.012218516725643773,-0.00406359998147634,-0.017724782540081818
E01000127,6.858057625394695,-0.016373591007016897,-0.005712714836094427,-0.021248864287669478
E01000128,6.614724813103509,-0.012772143612056329,-0.004938209781248718,-0.018875260298504337
E01000129,6.7189396007168805,-0.010952954859445713,-0.005717248382427272,-0.019664437575597146
E01000130,6.62201649725796,-0.014219799565509901,-0.004686927054063293,-0.019468590546425815
E01000131,6.4141770157638724,-0.010819960170059616,-0.004185120459727099,-0.017125068152591162
E01000132,6.9910709954761625,-0.01751748089633624,-0.006220173753306985,-0.023027798315835627
E01000133,6.741996651528846,-0.01491701394700572,-0.0050393828422997805,-0.021383384388294676
E01000134,7.200704570381675,-0.020180747107040247,-0.007187887019989667,-0.0237307206132736
E01000135,7.7312690336259395,-0.015487861924785552,-0.008208599800822624,-0.038574301163303806
E01000136,7.695457081012825,-0.013449326844012045,-0.008125344977434844,-0.03946674202729274
E01000137,7.750042223049053,-0.017723437032538595,-0.008015759510986258,-0.0374714885277876
E01000138,7.74546217384119,-0.01923135514347981,-0.007719544490550001,-0.03685697684017637
E01000139,7.809883283860977,-0.020113615069110125,-0.0077404742304485194,-0.03752127904508522
E01000140,7.7601110432351685,-0.018157139252138084,-0.008038616384520034,-0.03731510697537598
E01000141,7.774098749705665,-0.02346440883831653,-0.0067013120259204,-0.03659420938196723
E01000142,7.748566005588799,-0.02245602999742767,-0.0071275981025350045,-0.03586386961368625
E01000143,7.870172502357546,-0.02317422865319692,-0.007237546058364242,-0.03781433244024801
E01000144,7.71107787390802,-0.012218544231562413,-0.009068257735122454,-0.03968721698345121
E01000145,7.729920105846361,-0.015092710337286284,-0.008876344598504244,-0.03821631040675284
E01000146,7.700626846558134,-0.01249586430645538,-0.008428262441466288,-0.03987333888720878
E01000147,6.466227961667401,-0.012550137065238762,-0.004744660707993808,-0.017091270775930964
E01000148,6.413666349422908,-0.011584691075197197,-0.004251394412934796,-0.01688797188384262
E01000150,6.625427866383277,-0.01503362920871689,-0.005797311795317643,-0.01805477806682163
E01000151,6.4414592258438805,-0.013642571118419045,-0.0038684431970275783,-0.018405012069812644
E01000152,6.5115335070925155,-0.013540556380289615,-0.004028085259445443,-0.019574909136031368
E01000153,6.525266761643724,-0.01326977613339958,-0.004156256367945893,-0.019409834618074683
E01000154,6.379336182310339,-0.012483836507065887,-0.0038819424271236344,-0.017469254027220528
E01000155,6.3655018265555,-0.011395917430256142,-0.003920773370711257,-0.016972354853548734
E01000156,7.456154720621148,-0.02243436806569905,-0.007110248637226216,-0.03036955275605642
E01000157,7.354881435784303,-0.020950222638819842,-0.0072653865166592835,-0.028517438588428527
E01000158,6.969626898850183,-0.017453639802609954,-0.00565886348398902,-0.024091938346333688
E01000159,6.974281451363104,-0.0186364195513067,-0.004525207474288749,-0.02500217340032803
E01000160,6.980436316227155,-0.016105507579998107,-0.00633001330963942,-0.02442580130518978
E01000161,6.9818644891713575,-0.019162933509827874,-0.005987299546749105,-0.02302469183915399
E01000162,7.052085314601964,-0.021997130085560694,-0.0059740618797307545,-0.023192522312632923
E01000163,7.142864160031533,-0.018617709969171423,-0.007076116473508533,-0.02554875040964874
E01000164,7.316219400003089,-0.022430430965740336,-0.007221269838933993,-0.02698142937954312
E01000165,7.058779053947356,-0.019581791548026504,-0.006956814820506098,-0.023249451089792456
E01000166,7.11185328145285,-0.00688925665006712,-0.003952554834342318,-0.03234762887272469
E01000167,7.148387192644682,-0.007751253239392318,-0.003861095515850836,-0.032246548319008216
E01000168,7.057494035720856,-0.0070942777416173625,-0.003949279418565806,-0.03181134170116283
E01000169,7.128818477315169,-0.008136482710005492,-0.003979540808670667,-0.031876913606168164
E01000170,7.124361917413974,-0.009181587558305216,-0.004117111290498181,-0.03136922135990369
E01000171,7.163918552598437,-0.009505090581325914,-0.0041565570896290455,-0.03156270631226152
E01000172,7.033015669222113,-0.008523510661520444,-0.004079599760254854,-0.03107198614231591
E01000173,7.070402411810116,-0.009741885744124221,-0.004133298847976834,-0.03079597571386582
E01000174,7.133362813840571,-0.01097827541703557,-0.004344896481568764,-0.03078703450585888
E01000175,7.121239232050227,-0.013035006735506083,-0.004253171873353339,-0.03008950207372604
E01000176,6.859402120624937,-0.01697775866047314,-0.004769127938702736,-0.028483134100550443
E01000177,6.72497790960201,-0.012664934150231056,-0.003669433799577464,-0.029492465354823614
E01000178,6.8956391139870945,-0.013837228786759909,-0.004096185644841375,-0.03098974933708734
E01000179,6.788476708904593,-0.015234824635921204,-0.004251148314015666,-0.028665701282034346
E01000180,6.491502753011815,-0.007505459737673113,-0.0027483944517156514,-0.029722223619638305
E01000181,6.7723985260234825,-0.010541765664824006,-0.0036175368512924256,-0.031618269135663526
E01000182,6.670518504659154,-0.007302944619781102,-0.003570105563505859,-0.031996623913560826
E01000183,6.456786358618143,-0.007972782999113727,-0.0030058532952956345,-0.028677386578190578
E01000184,7.252405682302515,-0.024143663683827272,-0.005621319489677709,-0.029443023629646743
E01000185,6.917565055394541,-0.01705076035350921,-0.004422998264198381,-0.029336195192611405
E01000186,7.881389420418299,-0.029522461849377492,-0.010742031303543268,-0.028873556920493572
E01000187,7.8019665293348455,-0.027819520473236922,-0.010494189230112716,-0.028611742881625497
E01000188,7.932046098207592,-0.030102822903068042,-0.011204491870723756,-0.029109993690957483
E01000189,8.007269389990785,-0.032251864324271386,-0.01125509363239809,-0.029293779986249987
E01000190,8.066894831548272,-0.033111465710297154,-0.011318266562414307,-0.029748299927176827
E01000191,8.036628686912842,-0.03241327909462833,-0.011328280209994136,-0.02954508985190058
E01000192,7.847501038948157,-0.029974816048555213,-0.010126782465934165,-0.028441398545767466
E01000193,8.103816418988703,-0.03423631700963149,-0.011030494368040704,-0.02996849828519876
E01000194,7.75412548681699,-0.028944862468218226,-0.009287584434556139,-0.027681019020146726
E01000195,7.73576186636039,-0.026064409727745496,-0.010345294862777965,-0.028498799793267863
E01000196,7.1429087429859495,-0.018498964923564655,-0.006400449725664933,-0.03126731022690768
E01000197,7.015917963446783,-0.018579810222097138,-0.005491256191356071,-0.029929078166800727
E01000198,7.276549083065719,-0.01760210538383991,-0.008022450460766157,-0.031156710486418503
E01000199,7.3251421936045205,-0.019140005377959894,-0.007683164448126638,-0.03231930914874856
E01000200,7.25202020854232,-0.017418966746335203,-0.007470631765994477,-0.03219944253377363
E01000201,7.3244619273562925,-0.015378437669923604,-0.008192567833735207,-0.0332975130932934
E01000202,7.060015629127646,-0.015906608225227437,-0.0065542962956567155,-0.030853686363093633
E01000203,6.936638578807105,-0.014407657650517512,-0.006056908142652076,-0.030081417247319896
E01000204,7.388047098558215,-0.022695359826818813,-0.006877974290767999,-0.032968541897153036
E01000205,6.811201501428277,-0.010788883588875262,-0.005581609039719682,-0.03035031890288967
E01000206,6.70043124182882,0.000582938691938478,-0.004235123799027363,-0.03590525236435594
E01000207,6.4941388172720735,-0.003988696865052736,-0.003821071592521907,-0.030661176152991687
E01000208,6.241307817834256,-0.0015199793934319327,-0.002098184617142091,-0.029812327423907787
E01000209,7.214145548653295,-0.011340381235998951,-0.00757454179059444,-0.03423597047833206
E01000210,6.452341909645371,-0.007093902873039546,-0.0034319664296091606,-0.02874637218943892
E01000211,7.3342982151842095,-0.013544297197463178,-0.008188410864436217,-0.03428600973042574
E01000212,7.465567991854484,-0.009327660588017607,-0.008494816115669622,-0.038361959605619236
E01000213,6.181720125678088,0.002180380773820228,-0.0022008201793791327,-0.030618671137453254
E01000214,7.598280606906442,-0.008757208497071609,-0.008189189087844481,-0.041066443025414075
E01000215,7.696941529082628,-0.016233631465230883,-0.009830658695321294,-0.036353631703766785
E01000216,7.655479192917964,-0.012967283926520863,-0.00948259978045549,-0.038136185082028956
E01000217,7.551474269823582,-0.013798110791870884,-0.009269356642505566,-0.03631517277469559
E01000218,7.721350705492566,-0.015112073719411328,-0.009553995320767868,-0.037666232018122456
E01000219,7.690380554837104,-0.01819331695005328,-0.009056380826122496,-0.03559742851642726
E01000220,7.721478237725022,-0.016281660680751136,-0.009185759056267536,-0.037164195745996886
E01000221,7.653808337398462,-0.020394665547686174,-0.00844213580847471,-0.03402260260070778
E01000222,7.684041658902658,-0.019034667014187066,-0.007914405346896459,-0.03570082671844473
E01000223,7.565318350981935,-0.022853047791295062,-0.006979863115401506,-0.032006106564345466
E01000224,7.681950066327887,-0.021195724404653754,-0.0073499273170749896,-0.03493355071286992
E01000225,7.5469752057342525,-0.014904678938069751,-0.009337491129784237,-0.035579961662810404
E01000226,7.358770490083814,-0.02251038418979379,-0.007848548991926788,-0.025216349081127076
E01000227,7.50676542767523,-0.024453141398087925,-0.008602837984208066,-0.026526931178567317
E01000228,7.2472755581021175,-0.016434858881107732,-0.007760326907786752,-0.027124865595156943
E01000229,7.624231219366392,-0.024585371447991302,-0.009576612736261989,-0.02791421899769216
E01000230,7.698649920796069,-0.02634674172939754,-0.009859524722030982,-0.028071318947593883
E01000231,7.425278756969937,-0.0205002856860674,-0.008594439950731038,-0.027358675802148496
E01000232,7.44809367549269,-0.022023852010106502,-0.008564379942223067,-0.026912492287681423
E01000233,7.306427755367797,-0.020574395423067257,-0.007768465779672496,-0.02569430893437058
E01000234,7.123647311144602,-0.01779015177620702,-0.006855920733740431,-0.024982702944540747
E01000235,6.96177054708612,-0.016394806361940267,-0.006062661703664111,-0.023479855338997
E01000236,7.629303001074836,-0.017903103042208914,-0.00982148790403365,-0.0344015252282183
E01000237,7.487680714591071,-0.024543996171057722,-0.009338746722125396,-0.028511886538354576
E01000238,7.5407359968922565,-0.017674299079290124,-0.009421769666274758,-0.033705028409805236
E01000239,6.938311777040638,-0.020734849616201416,-0.006819654620253677,-0.02212496612633371
E01000240,6.76238339583297,-0.019041424339313502,-0.005649433433687749,-0.021620864256126755
E01000241,7.112198907449787,-0.021676390020699952,-0.007516143738020127,-0.025680224874025995
E01000242,7.364440226154517,-0.018706200222992728,-0.008612759737838177,-0.031123481037598964
E01000243,7.386746609139835,-0.021572530340107355,-0.008814326537475648,-0.029394176832409278
E01000244,7.287092286653714,-0.0233521862040038,-0.008408819332766153,-0.02673654769558557
E01000245,7.503116709359246,-0.021949981379143946,-0.009367832188215283,-0.030492645157561695
E01000246,7.302327425925661,-0.011215289455512246,-0.004677265677339694,-0.031902959022665184
